应用 / 环境,app_name,应用名称,应用名称,字符串,派生,✅ 必须,支持,"Session,View",后台已注入,多应用检索基础
应用 / 环境,resource.service.name,服务名,服务名,字符串,采集,✅ 必须,支持,"Session,View",semconv: service.name,应用或服务标识，是多应用检索的基础维度。
应用 / 环境,resource.service.version,版本,发布版本,字符串,采集,✅ 必须,支持,"Session,View",semconv: service.version,应用发布版本，用于版本回归和问题定位。
应用 / 环境,resource.deployment.environment.name,环境,应用环境,字符串,采集,✅ 必须,支持,"Session,View",semconv: deployment.environment.name,development（开发环境） / production（生产环境） / staging（预发布环境） / test（测试环境）。
应用 / 环境,resource.telemetry.sdk.name,SDK 名称,SDK 名称,字符串,采集,✅ 必须,支持,"Session,View",semconv: telemetry.sdk.name,blueking（蓝鲸 Otel SDK，当前值为 @blueking/open-telemetry，需修改） / aegis（Aegis SDK）。
应用 / 环境,resource.telemetry.sdk.version,SDK 版本,SDK 版本,字符串,采集,✅ 必须,支持,"Session,View",semconv: telemetry.sdk.version,SDK 版本，用于定位采集协议和兼容性问题。
应用 / 环境,resource.telemetry.sdk.language,语言,SDK语言,字符串,采集,✅ 必须,支持,"Session,View",semconv: telemetry.sdk.language,webjs（Web JavaScript SDK），当前固定为该值。
终端,resource.device.type,设备类型,设备类型,字符串,采集,✅ 必须,支持,"Session,View",browser attrs + UA 解析,desktop（桌面设备） / mobile（移动设备） / tablet（平板设备） / other（其他设备）。
终端,resource.user_agent.name,代理名称,浏览器名称,字符串,采集,✅ 必须,支持,"Session,View",semconv: user_agent.name,浏览器名称，如 Chrome、Edge。
终端,resource.user_agent.version,代理版本,浏览器发布版本,字符串,采集,✅ 必须,支持,"Session,View",semconv: user_agent.version,浏览器版本，如 149、151。
终端,resource.user_agent.os.name,操作系统名,操作系统,字符串,采集,✅ 必须,支持,"Session,View",semconv: user_agent.os.name,操作系统名称，如 macOS、Windows、Android。
地理 / 网络,attributes.network.connection.type,连接类型,,字符串,采集,✅ 必须,SDK 上报，预计算不写入,"View,Session",navigator.connection.type,bluetooth（蓝牙网络） / cellular（蜂窝移动网络） / ethernet（以太网） / mixed（混合连接） / none（无网络连接） / other（其他连接方式） / unknown（未知连接方式） / wifi（Wi-Fi 网络） / wimax（WiMAX 网络）；浏览器不支持 API 或未返回值时不上报；预计算索引不再消费此字段。
地理 / 网络,attributes.network.effective_type,有效网络质量,网络类型,字符串,采集,✅ 必须,支持,"View,Session",navigator.connection.effectiveType,slow-2g（极慢网络） / 2g（较慢网络） / 3g（中等网络） / 4g（较快网络）。
核心标识,attributes.user.id,用户 ID,用户 ID,字符串,采集,✅ 必须,支持,"Session,View",semconv: user.id（脱敏）,用户身份
核心标识,attributes.session.id,会话 ID,会话 ID,ID,采集,✅ 必须,支持,"Session,View",SDK 生成 Session ID,会话主键，用于关联同一 Session 下的 View、Action、Resource、Error 和 Vital。
